chemical,water_type,month_start,metric,n,n_sites,nd_frac,mean_value,median_value,ci_low,ci_high
ortho,groundwater,2017-09-01,median,2,6,0.80000000000000004,NULL,8.5000000000000006E-3,7.0000000000000001E-3,0.01
ortho,groundwater,2017-12-01,mean,20,12,0.0,7.1750000000000008E-2,NULL,4.2708928571428571E-2,0.09623173076923075
ortho,groundwater,2017-12-01,median,20,12,0.0,NULL,5.6499999999999995E-2,3.6999999999999998E-2,0.10652499999999987
ortho,groundwater,2018-05-01,mean,22,14,0.0,9.8681818181818176E-2,NULL,5.0686562500000004E-2,0.13123392857142857
ortho,groundwater,2018-05-01,median,22,14,0.0,NULL,7.2000000000000008E-2,3.6999999999999998E-2,0.14249999999999999
ortho,groundwater,2018-08-01,mean,7,7,0.0,8.5714285714285719E-3,NULL,7.0000000000000001E-3,1.0285714285714287E-2
ortho,groundwater,2018-08-01,median,7,7,0.0,NULL,8.0000000000000002E-3,7.0000000000000001E-3,0.012
ortho,groundwater,2018-09-01,mean,21,13,0.0,0.08204761904761905,NULL,4.9998333333333332E-2,0.10626277777777776
ortho,groundwater,2018-09-01,median,21,13,0.0,NULL,0.063,4.1000000000000002E-2,0.14699999999999999
ortho,groundwater,2018-10-01,mean,15,15,0.0,2.1133333333333334E-2,NULL,1.5333333333333334E-2,2.8333333333333339E-2
ortho,groundwater,2018-10-01,median,15,15,0.0,NULL,1.7999999999999999E-2,0.016,2.5000000000000001E-2
ortho,groundwater,2019-08-01,mean,13,6,0.0,5.3307692307692313E-2,NULL,2.5333333333333333E-2,0.0724011666666666
ortho,groundwater,2019-08-01,median,13,6,0.0,NULL,4.2999999999999997E-2,2.1000000000000001E-2,7.8999999999999987E-2
ortho,groundwater,2019-10-01,mean,11,6,0.0,4.5363636363636356E-2,NULL,2.0833333333333332E-2,0.05475
ortho,groundwater,2019-10-01,median,11,6,0.0,NULL,0.039,0.014,5.8999999999999997E-2
ortho,groundwater,2020-09-01,mean,2,2,0.0,8.9499999999999996E-2,NULL,0.078,0.10100000000000001
ortho,groundwater,2020-09-01,median,2,2,0.0,NULL,8.9499999999999996E-2,0.078,0.10100000000000001
ortho,groundwater,2020-10-01,mean,8,8,0.0,6.8374999999999991E-2,NULL,4.8250000000000001E-2,8.7128124999999973E-2
ortho,groundwater,2020-10-01,median,8,8,0.0,NULL,6.7000000000000004E-2,3.4000000000000002E-2,0.10199999999999999
ortho,groundwater,2020-12-01,mean,4,4,0.0,6.6000000000000003E-2,NULL,5.4749999999999993E-2,7.3499999999999996E-2
ortho,groundwater,2020-12-01,median,4,4,0.0,NULL,7.0000000000000007E-2,4.9000000000000002E-2,7.4999999999999997E-2
ortho,groundwater,2021-04-01,mean,7,7,0.0,8.0571428571428585E-2,NULL,7.1428571428571425E-2,9.2857142857142846E-2
ortho,groundwater,2021-04-01,median,7,7,0.0,NULL,7.4999999999999997E-2,7.0000000000000007E-2,8.5999999999999993E-2
ortho,groundwater,2021-06-01,mean,5,5,0.0,6.9800000000000001E-2,NULL,6.1800000000000001E-2,0.0814
ortho,groundwater,2021-06-01,median,5,5,0.0,NULL,6.5000000000000002E-2,6.0999999999999999E-2,9.1999999999999998E-2
ortho,groundwater,2021-08-01,mean,4,5,0.33333333333333331,6.9750000000000006E-2,NULL,5.7999999999999996E-2,8.6499999999999994E-2
ortho,groundwater,2021-08-01,median,4,5,0.33333333333333331,NULL,6.4500000000000002E-2,0.055,9.5000000000000001E-2
ortho,groundwater,2021-10-01,mean,4,4,0.0,7.1750000000000008E-2,NULL,0.063,8.4750000000000006E-2
ortho,groundwater,2021-10-01,median,4,4,0.0,NULL,6.7500000000000004E-2,6.0999999999999999E-2,9.0999999999999998E-2
ortho,groundwater,2022-02-01,mean,3,3,0.0,8.8000000000000009E-2,NULL,7.3999999999999996E-2,0.109
ortho,groundwater,2022-02-01,median,3,3,0.0,NULL,8.1000000000000003E-2,7.3999999999999996E-2,0.109
ortho,groundwater,2022-03-01,mean,4,4,0.0,7.1250000000000008E-2,NULL,6.5250000000000002E-2,8.0500000000000016E-2
ortho,groundwater,2022-03-01,median,4,4,0.0,NULL,6.8000000000000005E-2,6.4000000000000001E-2,8.5000000000000006E-2
ortho,groundwater,2023-08-01,mean,4,4,0.0,0.03125,NULL,1.7000000000000001E-2,4.8500000000000001E-2
ortho,groundwater,2023-08-01,median,4,4,0.0,NULL,2.4500000000000001E-2,1.7000000000000001E-2,5.8999999999999997E-2
ortho,surface_water,2016-01-01,mean,4,3,0.0,0.13225000000000001,NULL,4.5000000000000005E-3,0.44400000000000001
ortho,surface_water,2016-01-01,median,4,3,0.0,NULL,4.0500000000000001E-2,4.5000000000000005E-3,0.44400000000000001
ortho,surface_water,2016-02-01,mean,4,4,0.0,6.1499999999999999E-2,NULL,4.0000000000000001E-3,0.09799999999999999
ortho,surface_water,2016-02-01,median,4,4,0.0,NULL,6.6500000000000004E-2,4.0000000000000001E-3,9.8000000000000004E-2
ortho,surface_water,2016-03-01,mean,4,3,0.33333333333333331,6.5500000000000003E-2,NULL,0.039,9.1999999999999998E-2
ortho,surface_water,2016-03-01,median,4,3,0.33333333333333331,NULL,6.4000000000000001E-2,0.039,9.1999999999999998E-2
ortho,surface_water,2016-04-01,mean,4,4,0.44444444444444442,0.07350000000000001,NULL,4.0000000000000001E-2,0.10699999999999998
ortho,surface_water,2016-04-01,median,4,4,0.44444444444444442,NULL,6.7500000000000004E-2,4.0000000000000001E-2,0.107
ortho,surface_water,2016-05-01,mean,5,4,0.44444444444444442,0.10640000000000001,NULL,4.3000000000000003E-2,0.1486666666666667
ortho,surface_water,2016-05-01,median,5,4,0.44444444444444442,NULL,0.113,4.2999999999999997E-2,0.14599999999999999
ortho,surface_water,2016-06-01,mean,5,4,0.25,0.10680000000000001,NULL,2.9000000000000005E-2,0.15866666666666671
ortho,surface_water,2016-06-01,median,5,4,0.25,NULL,0.124,2.9000000000000001E-2,0.161
ortho,surface_water,2016-07-01,mean,5,3,0.44444444444444442,0.13059999999999999,NULL,6.6500000000000004E-2,0.17333333333333334
ortho,surface_water,2016-07-01,median,5,3,0.44444444444444442,NULL,0.14000000000000001,6.6500000000000004E-2,0.17799999999999999
ortho,surface_water,2016-08-01,mean,5,7,0.375,0.12520000000000001,NULL,4.4999999999999998E-2,0.17866666666666667
ortho,surface_water,2016-08-01,median,5,7,0.375,NULL,0.16500000000000001,4.4999999999999998E-2,0.184
ortho,surface_water,2016-09-01,mean,3,4,0.5714285714285714,0.10466666666666667,NULL,5.8999999999999997E-2,0.1275
ortho,surface_water,2016-09-01,median,3,4,0.5714285714285714,NULL,0.122,5.8999999999999997E-2,0.1275
ortho,surface_water,2016-10-01,mean,3,5,0.5,6.0999999999999999E-2,NULL,5.0000000000000001E-3,0.11
ortho,surface_water,2016-10-01,median,3,5,0.5,NULL,6.8000000000000005E-2,5.0000000000000001E-3,0.11
ortho,surface_water,2016-11-01,mean,2,3,0.66666666666666663,0.10299999999999999,NULL,5.7000000000000002E-2,0.14899999999999999
ortho,surface_water,2016-11-01,median,2,3,0.66666666666666663,NULL,0.10299999999999999,5.7000000000000002E-2,0.14899999999999999
ortho,surface_water,2016-12-01,mean,4,3,0.0,0.04725,NULL,5.0000000000000001E-3,0.11600000000000001
ortho,surface_water,2016-12-01,median,4,3,0.0,NULL,3.4000000000000002E-2,5.0000000000000001E-3,0.11600000000000001
ortho,surface_water,2017-01-01,mean,4,3,0.0,4.9999999999999996E-2,NULL,4.5000000000000005E-3,0.105
ortho,surface_water,2017-01-01,median,4,3,0.0,NULL,4.5499999999999999E-2,4.5000000000000005E-3,0.105
ortho,surface_water,2017-02-01,mean,4,3,0.0,0.31224999999999997,NULL,4.0000000000000001E-3,0.56300000000000006
ortho,surface_water,2017-02-01,median,4,3,0.0,NULL,0.13950000000000001,4.0000000000000001E-3,0.56299999999999994
ortho,surface_water,2017-03-01,mean,4,5,0.44444444444444442,0.19850000000000001,NULL,7.2000000000000008E-2,0.32500000000000001
ortho,surface_water,2017-03-01,median,4,5,0.44444444444444442,NULL,0.124,7.2000000000000008E-2,0.32500000000000001
ortho,surface_water,2017-04-01,mean,3,5,0.5,7.0999999999999994E-2,NULL,5.0999999999999997E-2,8.1000000000000003E-2
ortho,surface_water,2017-04-01,median,3,5,0.5,NULL,6.9000000000000006E-2,5.0999999999999997E-2,8.1000000000000003E-2
ortho,surface_water,2017-05-01,mean,4,3,0.33333333333333331,9.7249999999999989E-2,NULL,5.0000000000000003E-2,0.14449999999999999
ortho,surface_water,2017-05-01,median,4,3,0.33333333333333331,NULL,7.9500000000000001E-2,5.0000000000000003E-2,0.14449999999999999
ortho,surface_water,2017-06-01,mean,5,4,0.44444444444444442,0.1076,NULL,2.8000000000000001E-2,0.16066666666666668
ortho,surface_water,2017-06-01,median,5,4,0.44444444444444442,NULL,0.115,2.8000000000000001E-2,0.17000000000000001
